"releaseid","prdate","headline","prcopy","noteslabel","notestextcopy","photolabel","phototextcopy","keyword1","keyword2","keyword3","keyword4","keyword5","shortdescription","shorttitle"
"4352","15/03/2013 13:15:00","REMEMBERING THE EAST JAPAN TSUNAMI AND EARTHQUAKE","Representatives of the Royal Borough of Kensington and Chelsea and the ambassador of Japan joined members of the Japanese community earlier this week (11 March) to mark the second anniversary of the earthquake and tsunami which hit Eastern Japan and unveil a plaque from the Emperor of Japan, thanking the British people for their help after the tsunami and earthquake.<br /><br />The Deputy Leader of the Royal Borough, Councillor Nicholas Paget-Brown and the Mayor of the Royal Borough, Councillor Christopher Buckmaster represented the Royal Borough.  Mr Keiichi Hayashi, the Japanese Ambassador, read a message from the Japanese Emperor personally thanking the people of Britain for their aid two years ago.<br /><br />Welcoming Mr Keiichi Hayashi, Councillor Paget-Brown said: &#34;Thank you for coming on such an important day.  It is two years ago today since the sad events in Fukushima and the surrounding area took place.  <br /><br />&#34;We, in the Royal Borough, and in Britain as a whole, have a strong connection with the people of Japan and it is an honour for His Imperial Highness, the Emperor to choose our borough for a plaque to commemorate the help British people gave immediately after the tsunami and earthquake.&#34;<br /><br />The Mayor added: &#34;I remember where I was when the news of the terrible disaster appeared on television.  The room fell silent as we watched the awful pictures of what was unfolding in Japan.<br /><br />&#34;I would like to express our deepest sympathy to you all and let you know that we were all thinking of you and sharing your grief.&#34;<br /><br />Mr Hayashi said: &#34;Amidst our despair, we were greatly encouraged by the heart-warming messages of support as well as the most generous material assistance we received from the Government and people of the United Kingdom.  <br /><br />&#34;The plaque will play a valuable role both in reminding visitors to the Park of what happened on that fateful day and in making them aware of the selfless contribution of so many Britons to the efforts to bring relief and succour to the survivors of the catastrophe.&#34;<br /><br />The Fukushima Garden was created after the East Japan earthquake and is part of the Kyoto Garden, which was originally opened in September 1991 by HRH Prince Charles and His Imperial Highness The Crown Prince of Japan as a part of the Japan Festival celebrations.  <br />","NULL","NULL","NULL","NULL","Holland Park","Kyoto garden","Fukushima Garden ","cllr Paget-Brown","Mayor","Representatives of the Royal Borough of Kensington and Chelsea and the ambassador of Japan joined members of the Japanese community earlier this week (11 March) to mark the second anniversary of the earthquake and tsunami which hit Eastern Japan and unveil a plaque from the Emperor of Japan, thanking the British people for their help after the tsunami and earthquake.","Remembering the East Japan tsunami and earthquake"
"4353","15/03/2013 16:07:00","NEW DEPUTY MEMBER OF YOUTH PARLIAMENT FOR KENSINGTON AND CHELSEA IS ELECTED","Following a week of elections, a deputy member of Youth Parliament for Kensington and Chelsea has been elected.<br /><br />Adrianna Franklin, a 14-year-old pupil at Chelsea Academy, was elected with 55 per cent of the votes. Voting was open to young people aged 11 to 18 years who live, study, or work in the Royal Borough.<br /><br />In her manifesto, Adrianna listed education and youth employment, housing for young people and youth pregnancy as what she thought were the key issues that needed tackling or improving in Kensington and Chelsea. <br /><br />She will be working alongside the borough&#39;s existing Member of Youth Parliament, Amrit Tamana, also 14, to represent the voice of young people and raise the profile of youth issues in the local area.<br /><br />Both Adrianna and Amrit will be attending the UK Youth Parliament induction residential next month to prepare and equip them for their role as representatives for their peers. <br /><br />Adrianna will start her two year term as a DMYP and she will then automatically move into the MYP role next year when Amrit&#39;s term comes to an end.<br /><br />To find out more about how you can get involved in local youth democracy and decision making, contact the Youth Participation Team, phone 020 7938 8022 or visit www.facebook.com/epicyouthkandc<br /><br />Councillor Elizabeth Campbell, Cabinet Member for Family and Children&#39;s Services, said: &#34;Congratulations to Adrianna on her election. It is always good when young people get involved in democracy and take time to represent their community and I am sure Adrianna will learn a lot during her year. I wish her and Amrit all the best.&#34;<br />","NULL","NULL","NULL","NULL","Youth Parliament ","Royal Borough of Kensington and Chelsea","Adrianna Franklin","Chelsea Academy","Councillor Elizabeth Campbell, Cabinet Member for ","Following a week of elections, a deputy member of Youth Parliament for Kensington and Chelsea has been elected.","New deputy member of Youth Parliament for Kensington and Chelsea is elected."
"4354","22/03/2013 15:23:00","OAK BRIDGE EMBODIES COMMUNITY SPIRIT","Meanwhile Gardens, a community run park in North Kensington, which provides an oasis of green in a densely populated borough now has a new oak bridge with built- in-benches for residents to sit and enjoy the park.  <br /><br />The bridge provides a link to the wildlife garden which is maintained by Kensington and Chelsea MIND a charity which provides horticultural training for people with long term mental health issues. It is dedicated to the memory of the late Jamie McCullough who helped found Meanwhile Gardens and worked to transform the four-acre site from a derelict wasteland to the multi-activity community park it is today. <br /><br />Made from recycled oak timbers, it was designed by landscape architect Adam Thomas and paid for by the Western Riverside Environmental Fund.<br /><br />Speaking at the opening on Tuesday 12 March, the Mayor of the Royal Borough of Kensington and Chelsea, Cllr Christopher Buckmaster said: &#34;Meanwhile Gardens provides an oasis of green and calm in a busy and densely populated urban area and acts as a focal point for the local community. It has established a tradition of working with communities and organisations to build team spirit.  <br /><br />&#34;This beautiful and intricate bridge is a fitting testament to that spirit of partnership and will no doubt be enjoyed by local residents and visitors alike for many years to come. I would like to congratulate everyone associated with the project.&#34; <br /><br />In addition to the wildlife garden the park features a play hut for children, paddling pool and skatebowl.<br />","NULL","NULL","NULL","NULL","Meanwhile Gardens","Kensington and Chelsea MIND ","Royal Borough of Kensington and Chelsea"," Cllr Christopher Buckmaster",,"Meanwhile Gardens, a community run park in North Kensington, which provides an oasis of green in a densely populated borough now has a new oak bridge with built- in-benches for residents to sit and enjoy the park.  ","Oak bridge embodies community spirit "
"4355","18/03/2013 14:00:00","TWO-WAY CYCLING SUCCESS FOR ROYAL BOROUGH","The Royal Borough of Kensington and Chelsea won a London Transport Award in the cycling category at a ceremony on Thursday 14 March. <br /><br />The award is for the Council&#39;s two-way cycling scheme, in which cyclists are able to travel both ways along sections of a number of one-way streets in the borough. The Mayor&#39;s Vision for Cycling in London report described the scheme as &#34;brilliantly led&#34;. <br /><br />These changes have been designed to make cycling more attractive and allow riders to take the most direct route to their destination, as well as preventing situations in which one-way streets force cyclists onto busier main roads. The streets now have `Except cycles&#39; signs below the existing `No Entry&#39; signs together with signs and markings warning drivers that cyclists are allowed to travel in the opposite direction. This was only possible after the Council persuaded the Department for Transport to allow it to use this intuitive and simple arrangement of signs, which was previously not permitted. All councils are now able to use this arrangement. <br /><br />Councillor Nick Paget-Brown, the Royal Borough of Kensington and Chelsea&#39;s Deputy Leader and Cabinet Member for Transport, said: <br /><br />&#34;We are delighted to be recognised for our pioneering cycling scheme with this London Transport Award. We have always been keen to work with cyclists in Kensington and Chelsea to help them move more freely around the borough. <br /><br />&#34;The underlying principle for introducing two-way cycling in these streets is that it allows cyclists to avoid very busy roads and in some cases they even provide a more direct route.&#34;<br /><br />&#34;We have closely monitored road safety statistics in the participating one-way streets. The figures have stacked up and shown that two-way cycling poses no more of a danger to motorists, pedestrians or cyclists.&#34;<br /><br />There is a map of the two-way cycling schemes on the Royal Borough&#39;s cycling web page rbkc.gov.uk/cycling <br /> <br />It is important to remember that there is no blanket exemption from one-way restrictions for cyclists, with the only exemptions indicated by signs.<br />","NULL","NULL","NULL","NULL","cycling","Two-way cycling ","Transport","cllr nick paget-brown ",,"The Royal Borough of Kensington and Chelsea won a London Transport Award in the cycling category at a ceremony on Thursday 14 March. ","Two-way cycling success for Royal Borough"
"4356","18/03/2013 17:24:00","EASTER FAIR RAISES £10,000 FOR MAYOR'S CANCER CHARITY","Easter came early to Kensington Town Hall last week (Wednesday 13 March) when the Easter Fair raised over £10,000 for the Brain Tumour Research Campaign (BTRC) the official charity of Royal Borough&#39;s Mayor Cllr Buckmaster.<br /><br />Pictured are Mr Michael Portillo and Cllr Buckmaster with models from Wall London who, with the retailer East, provided two fashion shows. Over 50 stall holders took part featuring a range of goodies from handmade china, to cold meats, to fashion and household accessories. <br /><br />Specialist auctioneers Dreweatts Auction Houses, seen here examining the Mayor&#39;s chain of office, were on hand to provide a valuation of jewellery and small antique items for fair goers.<br /><br />As well as raising funds for Brain Tumour Research Campaign the Mayor is working to help buy a SonoWand for neurosurgeons at Charing Cross Hospital. The SonoWand makes surgery safer, more accurate and more complete and this results in patients living longer and having more opportunity to enjoy their family and friends while also benefiting from the BTRC research.<br /><br />Charing Cross Hospital is one of only two units in the country with a Sonowand. But demand is growing and it desperately needs another upgraded version.  Recent figures from the National Cancer Intelligence Network show that the North West London area, which comprises the Charing Cross Hospital, has the best results in the UK for one, three and five year survival rates for brain cancer.<br /><br />If you would like to help the Mayor&#39;s Charity email mayor@rbkc.gov.uk or to donate go to http://www.wayahead-btrc.org/news-events/charity-of-the-year/","NULL","NULL","NULL","NULL","Brain Tumour Research Campaign ","Royal Borough&#39;s Mayor Cllr Buckmaster","Mr Michael Portillo ","SonoWand for neurosurgeons at Charing Cross Hospit",,"Easter came early to Kensington Town Hall last week (Wednesday 13 March) when the Easter Fair raised over £10,000 for the Brain Tumour Research Campaign (BTRC) the official charity of Royal Borough&#39;s Mayor Cllr Buckmaster.","Easter Fair raises over £10,000 for Mayor&#39;s cancer charity"
"4357","21/03/2013 11:19:00","COUNCIL CALLS TIME ON ICEBERG HOUSES","Stricter planning rules could spell the end of mega-basements in the Royal Borough of Kensington and Chelsea.<br /><br />Six weeks of public consultation on the proposed policies will get underway on 21 March 2013.  Designed to introduce a sense of proportionality to basement proposals, the draft policies include:<br /><br />a reduction in the extent basements can intrude into the garden, from 85 per cent to 50 per cent, with that 50 per cent being a single area of space.<br /><br />a restriction to a single storey in most cases, with exceptions only being considered for large comprehensive developments.<br /><br />an outright ban on basement developments under, or in the gardens, of listed buildings or where basements already exist, though again exceptions might be considered on very large sites.<br /><br />the compulsory installation of pumps to prevent flooding from sewers. <br /><br />The move follows a study by the leading engineering consultancy, Alan Baxter and Associates, into the impact of multiple basement developments on the built and natural environment in Kensington and Chelsea.  <br /><br />Commenting on the new draft policies inspired by that report, Cabinet Member for Planning Policy, Cllr Tim Ahern, said:<br /><br />&#34;We do not argue for a ban on basement development, only for a better balance between them and the amenity of our other residents.  If the cumulative impact of scores of schemes that take months and years to complete is to damage the wider quality of life in our borough I believe we have a right to take that into account.<br /><br />&#34;Just as important, we want to preserve our garden space in its green, leafy and flowering form.  In particular we want trees to grow and thrive and they simply can&#39;t do that in thin soil that&#39;s principal purpose is to cover over a dwelling space.<br /><br />&#34;We also need to retain our soak away areas and for that you need space wide enough and deep enough.  Basements that are storeys deep do not help.  <br /><br />&#34;Finally, Kensington and Chelsea is an important heritage area with thousands of listed buildings.  Increasingly it&#39;s clear that major basement developments can be structurally very challenging.  Because of that increased risk to the fabric of our precious heritage assets we believe we should adopt the precautionary principle and reduce the risk by limiting the scale of some of the developments we have been seeing here.<br /><br />&#34;But now it&#39;s time for the public and the professionals to have their say.  We will listen carefully and our proposals will be examined by an Independent Inspector later in the year, after which we will take a final decision.&#34;<br /><br /><br />","NULL","NULL","NULL","NULL","basements ","Planning   ","Reduction in size ","cllr ahern ","consultation ","Stricter planning rules could spell the end of mega-basements in the Royal Borough of Kensington and Chelsea.","Council calls time on iceberg houses"
"4358","21/03/2013 17:00:00","MAYOR'S AWARDS HONOUR LOCAL CHAMPIONS","Seven people who have made an exceptional contribution to Kensington and Chelsea had their efforts recognised by the Mayor of the Royal Borough of Kensington and Chelsea, Cllr Christopher Buckmaster, at a ceremony on Monday 11 March.  <br /><br />The Mayor&#39;s Awards ceremony formally acknowledges the positive difference made by those who live or work in the Royal Borough.  The award is given to people who make an outstanding contribution to their local community and add significantly to the quality of life of those around them. <br /><br />The Mayor said: &#34;I am delighted to be able to recognise, on behalf of the Royal Borough, the wonderful contribution the seven recipients have made to our communities in Kensington and Chelsea. Their work, often voluntary, has gone a long way to improving others&#39; daily lives in their local neighbourhoods. These awards give us a chance to say thank you and recognise their hard work and stunning efforts.&#34;<br /><br />The award winners are:<br /><br />The Reverend John Brownsell for his work in the parish of All Saints, Notting Hill<br /><br />Feli Martinez for her work as an Open Age Trustee and volunteer <br /><br />Jeremy Raphaely for his work as Founder and Director of the Kensington and Chelsea Foundation <br /><br />William Taylor for his work as co-founder and Committee member of the Onslow Neighbourhood Association<br /><br />Christine Vigars for her work with Kensington and Chelsea LINk<br /><br />John Walker for his work with Westway Community Transport, St. Teresa&#39;s Care Home, Inkerman House, the St, Stephen&#39;s Centre, the Royal British Legion Poppy Appeal and the Earl&#39;s Court Ward Panel<br /><br />Eman Yosry for her work on the Silchester Estate and with the Estate&#39;s Residents&#39; Association.<br /><br />If you know of anyone who has given their services, paid or unpaid, for the benefit of others, the Council would like to know. <br /> <br />The people nominated do not have to live in the Royal Borough. It may be that they work here, come into the borough to do voluntary work, or have lived here in the past and can be nominated for the contribution they made to borough life at that time. <br /> <br />Application forms for next year&#39;s awards can be obtained from November 2013 onwards by calling the Mayor&#39;s Office on 020 7361 3659.<br />","NULL","NULL","NULL","NULL","Mayor&#39;s Awards","Mayor","cllr Buckmaster","Volunteering","Volunteer","Seven people who have made an exceptional contribution to Kensington and Chelsea had their efforts recognised by the Mayor of the Royal Borough of Kensington and Chelsea, Cllr Christopher Buckmaster, at a ceremony on Monday 11 March.  ","Mayor&#39;s Awards honour local champions"
"4359","20/03/2013 10:51:00","THAI RESTAURANT FALLS FOUL OF FOOD HYGIENE STANDARDS","A restaurant in All Saints Road is counting the cost of falling foul of food hygiene standards after being ordered to pay £5,015 yesterday (Tuesday 19 March 2013) at West London Magistrates&#39; Court. <br /><br />The court heard that when Kensington and Chelsea&#39;s environmental health officers visited Café De Thai, 23 All Saints Road, London W11 1HE on 12 April 2012 the premises had to be closed because officers found a severe and widespread mouse infestation. There was evidence of gnawed packets of rice and uncooked prawn crackers and mouse droppings were found on food contact surfaces. <br /><br />The restaurant was not kept clean, there was a failure to provide hot and cold running water and there had been a failure to keep stored foodstuffs protected from contamination.  It therefore posed a risk to public health and was immediately closed.<br /><br />Mr Leo Jubbang, the Director of Café De Thai Limited, pleaded guilty to four food hygiene offences and was fined £3,000. In addition he was ordered to pay the Council&#39;s £2,000 costs and a £15 victim surcharge. <br /><br />Mr Jubbang told the court that he had only been trading since 2009 and that his business had been suffering due to the current financial climate. In sentencing the magistrates took account of the economic downturn in fining him but also noted that the conditions found at the premises were disgusting.<br /><br />Councillor Fiona Buxton, the Royal Borough&#39;s Cabinet Member for Environmental Health, said: <br /><br />&#34;When officers visited this restaurant they found a serious mouse infestation and shut the premises immediately.  I am relieved that the court has handed down this substantial fine and hope it sends a clear signal that unhygienic conditions will not be tolerated in the borough.&#34;<br />","NULL","NULL","NULL","NULL","cafe de thai ","23 All Saints Road","Mice droppings","Fined  ","Cllr buxton ","A restaurant in All Saints Road is counting the cost of falling foul of food hygiene standards after being ordered to pay £5,015 yesterday (Tuesday 19 March 2013) at West London Magistrates&#39; Court. ","Thai restaurant  falls foul of food hygiene standards"
"4361","21/03/2013 11:23:00","GUIDELINES ANNOUNCED TO LIMIT SIZE OF 'SUPER-PRIME' PROPERTIES AND ENCOURAGE INCREASE IN AFFORDABLE HOMES","Planning guidelines to help limit the size of `super-prime&#39; residential properties and encourage an increase in the number of affordable homes have been announced by the Royal Borough of Kensington and Chelsea.<br /><br />With economic turbulence overseas, property in Kensington and Chelsea is often seen as a safe investment for wealthy foreign investors.  These buyers are able to invest huge sums of money in very large residential units over 350 sq m sometimes known as `super-prime&#39;.(1) The Council now proposes to restrict the size of very large residential units in a scheme to 25 per cent of the overall floor space.  <br /><br />There will also be restrictions on creating very large units by amalgamating existing properties, except where this restores a house to a single unit, which had been previously split into flats.<br /><br />These restrictions closely follow the Council&#39;s recent move to set limits on the scale of basement development in the borough.  Highlights of these new policies include a reduction in the extent which basements can extend into the garden, a restriction to a single storey and an outright ban on basement developments under, or in the gardens, of listed buildings, or where a basement already exists.(2)<br /><br />Measures to encourage an increase in the number of affordable homes being built in the borough include raising the threshold where affordable housing should be built on site to 2,400 sq m.  By doubling the threshold, the Council believes it will be more realistic for developers to build affordable homes as part of new developments instead of off-site.  <br /><br />Other changes require developers to make a financial contribution towards affordable housing on all schemes below the 2,400 sq m threshold.  This will be charged per square metre and on the entire floor space with the removal of the previous 800 sq m `tax free&#39; element.  <br /><br />Councillor Tim Ahern, the Royal Borough of Kensington and Chelsea&#39;s Cabinet Member for Planning Policy, said:<br /><br />&#34;Property in Kensington and Chelsea has long been attractive to foreign investors and while we do not want to discourage international investment we want to restrict the proliferation of `super-prime&#39; properties to ensure there remains a balance in property sizes.<br /> <br />&#34;Having some of the most expensive land values in the country means it is a constant challenge for us to build affordable homes in the Royal Borough.  <br /><br />&#34;We believe that by raising the threshold for affordable housing to be built on site, combined with an increase in financial contributions from developers, we can achieve a meaningful increase in the number of affordable homes we deliver.&#34;<br /><br />The Council is consulting on its housing and basement policies for six weeks from Thursday 21 March 2013.<br />","NULL","NULL","NULL","NULL","super-prime","Royal Borough of Kensington and Chelsea ","Large residential units ","Affordable homes  ","cllr tim ahern","Planning guidelines to help limit the size of `super-prime&#39; residential properties and encourage an increase in the number of affordable homes have been announced by the Royal Borough of Kensington and Chelsea.","Guidelines announced to limit size of &#39;super-prime&#39; properties and encourage increase in affordable homes"
"4365","27/03/2013 10:41:00","DOGS WAG TAILS IN AID OF MAGIC WAND","Dogs of all shapes, sizes and temperaments will help raise money for the Brain Tumour Research Campaign (BTRC) and Charing Cross Hospital with the Magic Wand Dog Show on Saturday 13 April at Dove House Green, just off King&#39;s Road, Chelsea.<br /><br />Celebrity judges will be on hand to judge the 15 fun and competitive classes such as scruffiest in show, best in show, waggiest tail, most like owner and cutest puppy. Other attractions on the day include a range of fun stalls, a doggy fashion show and fire engines for young children to sit in.<br /><br />BTRC was chosen by the Mayor of the Royal Borough of Kensington and Chelsea, Cllr Christopher Buckmaster, as his charity after a close friend was diagnosed with a brain tumour. Brain tumours are the biggest cancer killers of children and adults under 40 and have the lowest survival rate of all cancers.<br /><br />So far Cllr Buckmaster has raised over £100,000 which will go towards buying a ground breaking surgical tool called the SonoWand for Charing Cross Hospital. The SonoWand  creates a virtual reconstruction of the brain enabling surgeons to operated more accurately. The hospital already has a SonoWand  but demand is growing and it desperately needs another upgraded version.  <br /><br />Estimates from the National Cancer Intelligence Network (NCIN) indicate that approximately 840 Londoners are diagnosed with a brain, central nervous system or intracranial tumour each year and currently over 2,500 people are treated in London hospitals for tumours relating to the brain or central nervous system. According to NCIN the North West London area, which comprises the Charing Cross Hospital, has the best results in the UK for one, three and five year survival rates for brain cancer.<br /><br />If you would like to donate to the Mayor&#39;s Charity or want more information on the dog show go to www.wayahead-btrc.org/ <br /><br />","NULL","NULL","NULL","NULL","Brain Tumour Research Campaign ","dog show ","Mayor of the Royal Borough of Kensington and Chels","sonowand ","charring cross hospital","Dogs of all shapes, sizes and temperaments will help raise money for the Brain Tumour Research Campaign (BTRC) and Charing Cross Hospital with the Magic Wand Dog Show on Saturday 13 April at Dove House Green, just off King&#39;s Road, Chelsea.","Dogs wag tails in aid of Magic Wand"
"4366","28/03/2013 12:05:00","NEW PLAY SCHEME AT WORLD'S END","A new play scheme for disabled children was formally opened on Tuesday 26 March at Ashburnham School on the World&#39;s End Estate.<br /><br />The facility operates as a satellite service of the successful St Quintin Centre - based in North Kensington - and will be open on Saturdays and during school holidays.<br /><br />Housed in a newly-refurbished bungalow, St Quintin South offers a variety of facilities, initially for up to ten children, including an arts and crafts room, a reading room and a special eco garden.<br /><br />Councillor Elizabeth Campbell, Cabinet Member for Family and Children&#39;s Services, said: &#34;I am sure that this new play scheme will provide great facilities and fun for the children.  Everyone connected with the St Quintin Centre has vast experience of providing support to disabled children and their families.<br /><br />&#34;I would like to thank Ashburnham School for all its support which means that this important facility has a welcoming home in the south of the borough.&#34;<br />","NULL","NULL","NULL","NULL","World&#39;s End","Ashburnham School","Councillor Elizabeth Campbell","St Quintin South","St Quintin Centre","A new play scheme for disabled children was formally opened on Tuesday 26 March at Ashburnham School on the World&#39;s End Estate.","New play scheme at World&#39;s End"
"4367","28/03/2013 14:24:00","FOX PRIMARY'S TABLE TENNIS STARS DO BOROUGH PROUD AT NATIONAL FINAL","The boys and girls table tennis stars of Fox Primary School are celebrating after excelling at the National Schools Table Tennis Finals at the Hinckley Leisure Centre in Leicestershire. <br /><br />The boy&#39;s team featuring, Kidi, Teddy, Benji and Marco picked up the bronze medal  narrowly missing out on the silver medal. <br /><br />The girls, Tibby, Federica, Honor and Lucia, went one better, getting their hands on the silver medal and missed out on gold by a nail-biting single game. There were some heroic efforts all round, but amongst all the cheers and tears there were some standout performances from Benji and Federica, with Federica taking a game off the highest ranked England Under-11 girl. <br /><br />The tournament was the climax to a year-long qualifying process and marks the conclusion of a three-year coaching project at Fox Primary jointly sponsored by the Royal Borough of Kensington and Chelsea, The London Table Tennis Academy (LTTA) and Fox Primary.<br /><br />After the excitement of the weekend it&#39;s back to training for the Fox Stars as they prepare for their National Individual Events and the annual London Youth Games. Training takes place every Friday evening at the Council&#39;s Table Tennis School of Excellence held at the Chelsea Academy 5pm to 8pm (£2) during term time.<br /><br />All students in the borough are welcome to attend irrespective of their age or level of play. Work is already well advanced in creating successful borough teams for the coming season and Fox Primary look particularly determined to continue their successful run. You wouldn&#39;t bet against them becoming London Primary School Champions for a third successive year.<br /><br />Councillor Elizabeth Campbell, Cabinet Member for Family and Children&#39;s Services, said: &#34;Well done to the boys and girls from Fox Primary.  A silver and bronze from the same school at a national final is a fantastic achievement.<br /><br />&#34;Of course, the children&#39;s obvious talents have been supported and nurtured by their teachers, coaches from the Council and the London Table Tennis Academy.  I would like to thank them for all their efforts.&#34;<br />","NULL","NULL","NULL","NULL",,,,,,"The boys and girls table tennis stars of Fox Primary School are celebrating after excelling at the National Schools Table Tennis Finals at the Hinckley Leisure Centre in Leicestershire. ","Fox Primary School&#39;s table tennis stars do borough proud at national final"
"4368","28/03/2013 14:12:00","AN EXPLOSION OF YOUNG ARTISTIC TALENT","The opening night of Art Explosion at Chelsea Theatre on Friday 22 March provided a showcase for local young people&#39;s art, poetry, music and dance. <br /><br />Young people who took part in a cross-borough art competition sent in a fantastic range of pieces, including sculpture, collage, photography and painting. These were displayed while other young people entertained the crowd with spoken word poetry.<br /><br />First prize went to John O&#39;Donoghue (19) from World&#39;s End for his portrait painting. <br /><br />The competition was judged by Harold Offeh, a contemporary artist who works in a range of media including performance, video, photography and interactive and digital, who said:  &#34;I was completely blown away by the amount of creativity on display here. Choosing a winner was really difficult, but John obviously has real talent. I hope winning this competition really encourages him.&#34;<br /><br />On Saturday 23 March almost sixty young people took part in Dance Explosion at the theatre with performances showing off their dance moves and musical skills. The event was organised by the Council and was described by one young participant as simply &#34;the best event I have ever been to&#34;.<br /><br />Councillor Elizabeth Campbell, Cabinet Member for Family and Children&#39;s Services, said: &#34;It is very clear that we have some real artistic talent here in the borough.  I&#39;d like to thank all the young people who have exhibited and congratulate John on his winning entry.&#34;<br /><br />The art exhibition is on display at the theatre until Monday 15 April. <br /><br />","NULL","NULL","NULL","NULL",,,,,,"The opening night of Art Explosion at Chelsea Theatre on Friday 22 March provided a showcase for local young people&#39;s art, poetry, music and dance. ","An explosion of young artistic talent"
"4369","04/04/2013 17:35:00","REDCLIFFE WARD COUNCILLOR NOMINATED FOR MAYORAL ELECTION","Councillor Charles Williams has been nominated by the Conservative Party Group to stand for election as Mayor of the Royal Borough of Kensington and Chelsea.<br /><br />Born in Liverpool in 1948 Charles Williams read Natural Sciences at Gonville and Caius College Cambridge and has worked in the City and for several Not for Profit organisations.  He has served as Chief Finance Officer of the Churches Conservation Trust, a charity which cares for over 300 redundant churches, and, until his retirement in 2013, worked for the British Association of Art Therapists.  He served as a member of Lambeth Borough Council from 1977 to 1986.<br /><br />Charles Williams was first elected to the Council in 2006 as Councillor for Redcliffe Ward, which he continues to represent.  He is vice-chairman of the Planning Applications Committee and of the Health, Environmental Health and Adult Social Care Scrutiny Committee.<br /><br />He has served as a governor of the Chelsea Open Air Nursery School; and is the Council&#39;s representative on the Council of Governors of Central and North West London NHS Foundation Trust.  He is Treasurer of the Brighter Kensington and Chelsea Scheme, a borough-wide gardening competition which is supported by the Council, and a member of the Kensington and Chelsea Community Police Engagement Group.<br /><br />If elected, he will appoint his wife, June to be his Mayoress; they were married in 1998.  Mrs. Williams worked as an occupation therapist until her retirement and has lived in the Royal Borough since 1970.  Councillor Williams will appoint the Reverend. Ginny Thomas from St. Mary the Boltons as his Chaplain and will take Trinity Hospice as his charity.<br /><br />Councillor Williams said: &#34;It is great honour to be selected to stand for election as Mayor of the Royal Borough of Kensington and Chelsea. <br /><br />&#34;I hope, if elected, to meet as many as possible of those who give their time to voluntary work in the Royal Borough and thank them for what they do for our community.&#34;<br /><br /><br />","NULL","NULL","NULL","NULL",,,,,,"Councillor Charles Williams has been nominated by the Conservative Party Group to stand for election as Mayor of the Royal Borough of Kensington and Chelsea.","Redcliffe ward Councillor nominated for Mayoral election"
"4370","03/04/2013 17:56:00","LAUNCH OF CITYREAD 2013 ","A novel capturing a snapshot of London life has been revealed as the title for the second annual capital-wide book club.<br /><br />This year&#39;s chosen book for Cityread 2013 - set up to promote the capital&#39;s libraries and reading - will be Sebastian Faulks&#39;s novel `A Week in December.&#39;  <br /><br />Libraries across Kensington and Chelsea, Westminster and Hammersmith and Fulham are hosting a number of events from Tuesday 2 April.<br /><br />It will follow the success of the scheme&#39;s debut in 2012, when thousands of Londoners rediscovered Charles Dickens&#39; classic `Oliver Twist&#39; and enjoyed hundreds of related events, workshops and screenings across the capital.<br /><br />Mr Faulks, whose satire is a panoramic snapshot of London life, the people and issues that affect them, said it was an honour for his title to be picked.<br /><br />He said: &#34;I&#39;m delighted that `A Week in December&#39; will be Cityread London&#39;s chosen book for 2013.<br /><br />&#34;I began the book with the intention of writing a modern Dickensian novel in which London played a key part so it&#39;s great to be following Dickens himself as the Cityread London selection.<br /><br />&#34;I do hope Londoners enjoy reading and discussing the book, and hope that it goes some way towards reflecting the nature of this extraordinary city.&#34;<br /><br />Other events will include free literary and history talks, creative writing workshops, exhibitions, a photographic competition and an online reading group. They will be included in a talk by Antony Clayton, author of `Subterranean City: Beneath the Streets of London&#39; at Paddington Library on Thursday 4 April.<br /><br />An exhibition `Trains, Trams and Buses: Images from the History of Transport in Kensington and Chelsea&#39; will be touring libraries throughout the borough.<br /><br />While Hammersmith and Fulham libraries are running &#39;A Week in April&#39; - a photography competition inspired by Faulks&#39;s book.<br /><br />Councillor Elizabeth Campbell, the Royal Borough&#39;s Cabinet Member for Libraries, said: &#34;We are proud to be supporting Cityread London for the second year running.<br /><br />&#34;Across our three boroughs we have a programme of exciting events and I&#39;d urge people to pop into their nearest library and check them out.&#34;<br /><br />Councillor Steve Summers, Westminster&#39;s Cabinet Member for Community, said: <br /><br />&#34;Our libraries are a fantastic and much-loved resource.<br /><br />&#34;It is events like Cityread that will remind anyone who hasn&#39;t visited their local library for a while why they are so important and what they are missing.&#34;<br /><br />Councillor Greg Smith, Hammersmith and Fulham Council Deputy Leader, said: &#34;Literacy is a fundamental cornerstone of a modern society and we need to get residents off their sofas and into our libraries with events like this.<br /><br />&#34;This is why we are finding original ways to strengthen and protect as many of our libraries as we can.<br /><br />&#34;Residents across the Tri-borough area now have access to more books than anyone could realistically expect to read in a lifetime.&#34;<br /><br />For the full list of events taking across the three boroughs check:<br />http://www.westminster.gov.uk/services/libraries/news/cityread/<br />http://www.rbkc.gov.uk/leisureandlibraries/libraries/whatson/cityreadeventsapril2013.aspx<br />http://www.lbhf.gov.uk/Directory/Leisure_and_Culture/Libraries/Library_facilities_incl_location_opening_hours/142228_Whats_on_for_adults.asp<br /><br />","NULL","NULL","NULL","NULL","cityread 2013 ","Sebastian Faulks","A week in December  ","Kensington and Chelsea ","councillor elizabeth campbell ","A novel capturing a snap-shot of London life has been revealed as the title for the second annual capital-wide book-club.","Launch of Cityread 2013 "
